"raceId","driverId","mean_lap_time","total_pit_stops"
856,4,107230.6,2
856,5,109080.944444444,2
856,10,110464.055555556,2
856,13,107402.309090909,2
856,15,109734.444444444,2
856,16,108240.418181818,2
856,17,107172.2,2
856,18,107212.509090909,2
856,20,106945.345454545,2
856,22,108637.490909091,2
856,24,113736.403846154,3
856,30,108065.333333333,1
856,67,108086.472727273,2
856,153,107846.036363636,2
856,155,109324.203703704,3
856,808,111456.0625,1
856,811,109045.314814815,2
856,813,113575.066666667,3
856,814,108192.654545455,2
856,815,109331.425925926,3
856,816,110674.240740741,2
856,817,110629.203703704,2
857,1,91986.4166666667,3
857,3,91697.55,2
857,4,90988.3833333333,2
857,5,93820.6034482759,2
857,10,122778.5,1
857,13,94028.65625,3
857,15,99245.2727272727,3
857,16,92714.5762711864,2
857,17,91008.85,2
857,18,90723.9166666667,2
857,20,90583.3666666667,2
857,22,94078.5689655172,2
857,30,91673.7166666667,2
857,39,95650.298245614,2
857,67,94371,1
857,153,92447.8305084746,2
857,808,92773.3389830509,2
857,811,92971.1525423729,2
857,814,93038.0169491525,3
857,815,92758.4745762712,2
857,816,95640.0175438596,2
857,817,96208.8245614035,3
858,1,106034.290909091,2
858,3,106985.509090909,2
858,4,106188.054545455,2
858,5,109588.018518519,2
858,10,111380.679245283,2
858,13,106953.890909091,2
858,15,110828.377358491,2
858,16,107436.509090909,2
858,17,106684.909090909,3
858,18,106504.854545455,2
858,22,108286.074074074,2
858,24,111984.471698113,1
858,30,107415.454545455,2
858,153,108998.851851852,2
858,155,108026.240740741,2
858,808,108357.407407407,2
858,811,109526.074074074,3
858,813,108789.5,2
858,814,107872.236363636,1
858,815,108272.925925926,2
858,817,111759.729166667,2
859,1,79559.7608695652,3
859,3,79329.0857142857,2
859,4,78486.0845070423,3
859,5,80818.7391304348,3
859,10,82941.0952380952,1
859,13,78932.3521126761,2
859,15,81367.9855072464,2
859,16,79203.3571428571,3
859,17,77992.4507042254,3
859,18,78381.7183098591,3
859,20,78231.6478873239,3
859,22,79999.3714285714,3
859,24,82575.0655737705,2
859,30,80058.7857142857,3
859,67,79784.0571428571,2
859,153,79622.0142857143,2
859,155,79536.7857142857,2
859,808,79575.6142857143,3
859,811,81249.0289855072,4
859,813,81585.3461538462,1
859,814,79471.2142857143,2
859,815,79937.5571428571,2
859,816,82157.6029411765,2
859,817,82464.1617647059,2
860,1,97476.5517241379,2
860,3,98400.1206896552,2
860,4,97778.1034482759,2
860,5,100754.657894737,3
860,8,98061.7068965517,2
860,10,99909.1929824561,2
860,13,99756.3260869565,3
860,17,97484.6896551724,2
860,18,97406.2931034483,2
860,20,97443.1724137931,2
860,155,98040.1896551724,2
860,808,96438.6176470588,1
860,811,100556.307692308,3
860,813,97857.1754385965,2
860,814,98091.4137931034,2
860,815,98086.6034482759,1
860,817,98088.2931034483,3
860,818,98093.3275862069,2
860,819,102463.905660377,3
861,1,176900.053571429,3
861,3,178042.946428571,4
861,4,176639.5,3
861,5,180942.072727273,4
861,8,177165.5,3
861,10,180869.727272727,3
861,13,178377.339285714,4
861,17,176955.357142857,3
861,18,178063.053571429,5
861,20,177988.196428571,4
861,30,177532.285714286,3
861,37,184868.314814815,3
861,39,184623.685185185,2
861,155,194763.565217391,3
861,807,177494.714285714,3
861,808,180094,3
861,811,177312.125,4
861,813,180490.722222222,4
861,814,177432.571428571,3
861,815,176679.910714286,3
861,817,178011.428571429,4
861,818,177478.517857143,2
861,819,183276.592592593,3
862,1,103802.517857143,3
862,3,103338.017857143,2
862,4,104003.303571429,3
862,5,110538.58490566,3
862,8,104241.107142857,2
862,10,106184.618181818,2
862,13,104101.928571429,2
862,17,103836.660714286,3
862,18,103706.339285714,3
862,20,103882.357142857,2
